claim_id,document,line,claim_text,numeric_occurrence,category,status,source_value,source,note,report_sha256
F04-0011,REPORT.md,3,"Declared scope: Reported England-commissioned consultant-led referral-to-treatment pathways still waiting at month-end; no estimates added for missing providers; exact Part_2; commissioner NONC excluded. National figures aggregate submitted data and count all specialties once, using C_999 Total rows, reconciled to the sum of the individual specialties. Specialty figures use only C_100, C_110, C_120, C_130, C_301, C_320 and C_400. The main series covers January 2024 to May 2026. These are pathways, not unique people: a person can have more than one. Completed pathways and the historical baseline are labelled wherever used.",C_301,raw schema/scope identifier,VERIFIED,"""C_301""",NHS RTT guidance; brief definitions; raw file/header inventory,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0012,REPORT.md,3,"Declared scope: Reported England-commissioned consultant-led referral-to-treatment pathways still waiting at month-end; no estimates added for missing providers; exact Part_2; commissioner NONC excluded. National figures aggregate submitted data and count all specialties once, using C_999 Total rows, reconciled to the sum of the individual specialties. Specialty figures use only C_100, C_110, C_120, C_130, C_301, C_320 and C_400. The main series covers January 2024 to May 2026. These are pathways, not unique people: a person can have more than one. Completed pathways and the historical baseline are labelled wherever used.",C_320,raw schema/scope identifier,VERIFIED,"""C_320""",NHS RTT guidance; brief definitions; raw file/header inventory,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0013,REPORT.md,3,"Declared scope: Reported England-commissioned consultant-led referral-to-treatment pathways still waiting at month-end; no estimates added for missing providers; exact Part_2; commissioner NONC excluded. National figures aggregate submitted data and count all specialties once, using C_999 Total rows, reconciled to the sum of the individual specialties. Specialty figures use only C_100, C_110, C_120, C_130, C_301, C_320 and C_400. The main series covers January 2024 to May 2026. These are pathways, not unique people: a person can have more than one. Completed pathways and the historical baseline are labelled wherever used.",C_400,raw schema/scope identifier,VERIFIED,"""C_400""",NHS RTT guidance; brief definitions; raw file/header inventory,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0014,REPORT.md,3,"Declared scope: Reported England-commissioned consultant-led referral-to-treatment pathways still waiting at month-end; no estimates added for missing providers; exact Part_2; commissioner NONC excluded. National figures aggregate submitted data and count all specialties once, using C_999 Total rows, reconciled to the sum of the individual specialties. Specialty figures use only C_100, C_110, C_120, C_130, C_301, C_320 and C_400. The main series covers January 2024 to May 2026. These are pathways, not unique people: a person can have more than one. Completed pathways and the historical baseline are labelled wherever used.",2024,period or year metadata,VERIFIED,"""2024""",NHS RTT guidance; brief definitions; raw file/header inventory,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0015,REPORT.md,3,"Declared scope: Reported England-commissioned consultant-led referral-to-treatment pathways still waiting at month-end; no estimates added for missing providers; exact Part_2; commissioner NONC excluded. National figures aggregate submitted data and count all specialties once, using C_999 Total rows, reconciled to the sum of the individual specialties. Specialty figures use only C_100, C_110, C_120, C_130, C_301, C_320 and C_400. The main series covers January 2024 to May 2026. These are pathways, not unique people: a person can have more than one. Completed pathways and the historical baseline are labelled wherever used.",2026,period or year metadata,VERIFIED,"""2026""",NHS RTT guidance; brief definitions; raw file/header inventory,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0016,REPORT.md,3,"Declared scope: Reported England-commissioned consultant-led referral-to-treatment pathways still waiting at month-end; no estimates added for missing providers; exact Part_2; commissioner NONC excluded. National figures aggregate submitted data and count all specialties once, using C_999 Total rows, reconciled to the sum of the individual specialties. Specialty figures use only C_100, C_110, C_120, C_130, C_301, C_320 and C_400. The main series covers January 2024 to May 2026. These are pathways, not unique people: a person can have more than one. Completed pathways and the historical baseline are labelled wherever used.",one,written number/definition,VERIFIED,1,NHS RTT guidance; brief definitions; raw file/header inventory,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0017,REPORT.md,5,"# Finding 04 — a shorter median, a promise still unmet",04,heading/label metadata,VERIFIED,"""04""",NHS RTT guidance; brief definitions; raw file/header inventory,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0018,REPORT.md,7,"At the end of May 2026, half of the waiting pathways had been open for roughly 12.4 weeks or less. Yet the wait that included 92% of the list was 38.6 weeks. This is the 92nd percentile, or p92: the point below which that share of waiting pathways sits.",2026,period or year metadata,VERIFIED,"""2026""",verification_independent_measures.csv 2026-05 C_999 Part_2 p50/p92,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0019,REPORT.md,7,"At the end of May 2026, half of the waiting pathways had been open for roughly 12.4 weeks or less. Yet the wait that included 92% of the list was 38.6 weeks. This is the 92nd percentile, or p92: the point below which that share of waiting pathways sits.",half,percentile/threshold definition,VERIFIED,0.5,verification_independent_measures.csv 2026-05 C_999 Part_2 p50/p92,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0020,REPORT.md,7,"At the end of May 2026, half of the waiting pathways had been open for roughly 12.4 weeks or less. Yet the wait that included 92% of the list was 38.6 weeks. This is the 92nd percentile, or p92: the point below which that share of waiting pathways sits.",12.4,measured quantity,VERIFIED,12.42281680139593,verification_independent_measures.csv 2026-05 C_999 Part_2 p50/p92,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0021,REPORT.md,7,"At the end of May 2026, half of the waiting pathways had been open for roughly 12.4 weeks or less. Yet the wait that included 92% of the list was 38.6 weeks. This is the 92nd percentile, or p92: the point below which that share of waiting pathways sits.",92%,percentile/threshold definition,VERIFIED,92,verification_independent_measures.csv 2026-05 C_999 Part_2 p50/p92,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0022,REPORT.md,7,"At the end of May 2026, half of the waiting pathways had been open for roughly 12.4 weeks or less. Yet the wait that included 92% of the list was 38.6 weeks. This is the 92nd percentile, or p92: the point below which that share of waiting pathways sits.",38.6,measured quantity,VERIFIED,38.56866552242009,verification_independent_measures.csv 2026-05 C_999 Part_2 p50/p92,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0023,REPORT.md,7,"At the end of May 2026, half of the waiting pathways had been open for roughly 12.4 weeks or less. Yet the wait that included 92% of the list was 38.6 weeks. This is the 92nd percentile, or p92: the point below which that share of waiting pathways sits.",92nd,percentile/threshold definition,VERIFIED,92,verification_independent_measures.csv 2026-05 C_999 Part_2 p50/p92,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0024,REPORT.md,7,"At the end of May 2026, half of the waiting pathways had been open for roughly 12.4 weeks or less. Yet the wait that included 92% of the list was 38.6 weeks. This is the 92nd percentile, or p92: the point below which that share of waiting pathways sits.",p92,percentile/threshold definition,VERIFIED,92,verification_independent_measures.csv 2026-05 C_999 Part_2 p50/p92,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0025,REPORT.md,9,"The standard requires at least 92% of incomplete pathways to be within 18 weeks. On the grouped-data estimate, the gap was therefore 20.6 weeks. This is a description of how long the current list has been waiting so far. It is not a prediction of the wait faced by a new referral or the time remaining before treatment.",92%,percentile/threshold definition,VERIFIED,92,NHS RTT guidance standard and independently computed May p92 minus18,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0026,REPORT.md,9,"The standard requires at least 92% of incomplete pathways to be within 18 weeks. On the grouped-data estimate, the gap was therefore 20.6 weeks. This is a description of how long the current list has been waiting so far. It is not a prediction of the wait faced by a new referral or the time remaining before treatment.",18,percentile/threshold definition,VERIFIED,18,NHS RTT guidance standard and independently computed May p92 minus18,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0027,REPORT.md,9,"The standard requires at least 92% of incomplete pathways to be within 18 weeks. On the grouped-data estimate, the gap was therefore 20.6 weeks. This is a description of how long the current list has been waiting so far. It is not a prediction of the wait faced by a new referral or the time remaining before treatment.",20.6,measured quantity,VERIFIED,20.56866552242009,NHS RTT guidance standard and independently computed May p92 minus18,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0028,REPORT.md,11,"Both the median and p92 fell between the start and end of this submitted-data series. Reporting gaps mean this is not a fully constant provider population. The median fell by 2.6 weeks, while p92 fell by 6.7 weeks. Improvement and a missed standard coexist. A median inside eighteen weeks does not establish that patients are fine, or that the standard is being met: the standard protects far more than the middle patient.",p92,percentile/threshold definition,VERIFIED,92,verification_independent_measures.csv endpoint percentile differences,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0029,REPORT.md,11,"Both the median and p92 fell between the start and end of this submitted-data series. Reporting gaps mean this is not a fully constant provider population. The median fell by 2.6 weeks, while p92 fell by 6.7 weeks. Improvement and a missed standard coexist. A median inside eighteen weeks does not establish that patients are fine, or that the standard is being met: the standard protects far more than the middle patient.",2.6,measured quantity,VERIFIED,2.6167560497019426,verification_independent_measures.csv endpoint percentile differences,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0030,REPORT.md,11,"Both the median and p92 fell between the start and end of this submitted-data series. Reporting gaps mean this is not a fully constant provider population. The median fell by 2.6 weeks, while p92 fell by 6.7 weeks. Improvement and a missed standard coexist. A median inside eighteen weeks does not establish that patients are fine, or that the standard is being met: the standard protects far more than the middle patient.",p92,percentile/threshold definition,VERIFIED,92,verification_independent_measures.csv endpoint percentile differences,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0031,REPORT.md,11,"Both the median and p92 fell between the start and end of this submitted-data series. Reporting gaps mean this is not a fully constant provider population. The median fell by 2.6 weeks, while p92 fell by 6.7 weeks. Improvement and a missed standard coexist. A median inside eighteen weeks does not establish that patients are fine, or that the standard is being met: the standard protects far more than the middle patient.",6.7,measured quantity,VERIFIED,6.699719069067946,verification_independent_measures.csv endpoint percentile differences,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0032,REPORT.md,11,"Both the median and p92 fell between the start and end of this submitted-data series. Reporting gaps mean this is not a fully constant provider population. The median fell by 2.6 weeks, while p92 fell by 6.7 weeks. Improvement and a missed standard coexist. A median inside eighteen weeks does not establish that patients are fine, or that the standard is being met: the standard protects far more than the middle patient.",eighteen,percentile/threshold definition,VERIFIED,18,verification_independent_measures.csv endpoint percentile differences,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0033,REPORT.md,17,| 2024-01 | 15.0 | 15.03957 | +0.03957 | Publication rounded to one decimal; same linear band estimate |,2024-01,period or year metadata,VERIFIED,"""2024-01""",verification_official_comparison.csv 2024-01 median; live workbook cell DH38,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0034,REPORT.md,17,| 2024-01 | 15.0 | 15.03957 | +0.03957 | Publication rounded to one decimal; same linear band estimate |,15.0,measured quantity,VERIFIED,15.0395728510979,verification_official_comparison.csv 2024-01 median; live workbook cell DH38,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0035,REPORT.md,17,| 2024-01 | 15.0 | 15.03957 | +0.03957 | Publication rounded to one decimal; same linear band estimate |,15.03957,measured quantity,VERIFIED,15.039572851097873,verification_official_comparison.csv 2024-01 median; live workbook cell DH38,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0036,REPORT.md,17,| 2024-01 | 15.0 | 15.03957 | +0.03957 | Publication rounded to one decimal; same linear band estimate |,+0.03957,measured quantity,VERIFIED,0.039572851097872785,verification_official_comparison.csv 2024-01 median; live workbook cell DH38,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0037,REPORT.md,17,| 2024-01 | 15.0 | 15.03957 | +0.03957 | Publication rounded to one decimal; same linear band estimate |,one,written number/definition,VERIFIED,1,verification_official_comparison.csv 2024-01 median; live workbook cell DH38,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0038,REPORT.md,18,| 2025-02 | 14.2 | 14.20786 | +0.00786 | Publication rounded to one decimal; same linear band estimate |,2025-02,period or year metadata,VERIFIED,"""2025-02""",verification_official_comparison.csv 2025-02 median; live workbook cell DH38,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0039,REPORT.md,18,| 2025-02 | 14.2 | 14.20786 | +0.00786 | Publication rounded to one decimal; same linear band estimate |,14.2,measured quantity,VERIFIED,14.2078621473788,verification_official_comparison.csv 2025-02 median; live workbook cell DH38,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0040,REPORT.md,18,| 2025-02 | 14.2 | 14.20786 | +0.00786 | Publication rounded to one decimal; same linear band estimate |,14.20786,measured quantity,VERIFIED,14.207862147378773,verification_official_comparison.csv 2025-02 median; live workbook cell DH38,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0041,REPORT.md,18,| 2025-02 | 14.2 | 14.20786 | +0.00786 | Publication rounded to one decimal; same linear band estimate |,+0.00786,measured quantity,VERIFIED,0.007862147378773443,verification_official_comparison.csv 2025-02 median; live workbook cell DH38,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0042,REPORT.md,18,| 2025-02 | 14.2 | 14.20786 | +0.00786 | Publication rounded to one decimal; same linear band estimate |,one,written number/definition,VERIFIED,1,verification_official_comparison.csv 2025-02 median; live workbook cell DH38,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0043,REPORT.md,19,| 2026-04 | 11.9 | 11.89565 | -0.00435 | Publication rounded to one decimal; same linear band estimate |,2026-04,period or year metadata,VERIFIED,"""2026-04""",verification_official_comparison.csv 2026-04 median; live workbook cell DH38,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0044,REPORT.md,19,| 2026-04 | 11.9 | 11.89565 | -0.00435 | Publication rounded to one decimal; same linear band estimate |,11.9,measured quantity,VERIFIED,11.8956547031894,verification_official_comparison.csv 2026-04 median; live workbook cell DH38,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0045,REPORT.md,19,| 2026-04 | 11.9 | 11.89565 | -0.00435 | Publication rounded to one decimal; same linear band estimate |,11.89565,measured quantity,VERIFIED,11.895654703189418,verification_official_comparison.csv 2026-04 median; live workbook cell DH38,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0046,REPORT.md,19,| 2026-04 | 11.9 | 11.89565 | -0.00435 | Publication rounded to one decimal; same linear band estimate |,-0.00435,measured quantity,VERIFIED,-0.0043452968105821554,verification_official_comparison.csv 2026-04 median; live workbook cell DH38,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0047,REPORT.md,19,| 2026-04 | 11.9 | 11.89565 | -0.00435 | Publication rounded to one decimal; same linear band estimate |,one,written number/definition,VERIFIED,1,verification_official_comparison.csv 2026-04 median; live workbook cell DH38,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0048,REPORT.md,20,| 2026-05 | 12.4 | 12.42282 | +0.02282 | Publication rounded to one decimal; same linear band estimate |,2026-05,period or year metadata,VERIFIED,"""2026-05""",verification_official_comparison.csv 2026-05 median; live workbook cell DH38,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0049,REPORT.md,20,| 2026-05 | 12.4 | 12.42282 | +0.02282 | Publication rounded to one decimal; same linear band estimate |,12.4,measured quantity,VERIFIED,12.4228168013959,verification_official_comparison.csv 2026-05 median; live workbook cell DH38,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0050,REPORT.md,20,| 2026-05 | 12.4 | 12.42282 | +0.02282 | Publication rounded to one decimal; same linear band estimate |,12.42282,measured quantity,VERIFIED,12.42281680139593,verification_official_comparison.csv 2026-05 median; live workbook cell DH38,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0051,REPORT.md,20,| 2026-05 | 12.4 | 12.42282 | +0.02282 | Publication rounded to one decimal; same linear band estimate |,+0.02282,measured quantity,VERIFIED,0.022816801395929787,verification_official_comparison.csv 2026-05 median; live workbook cell DH38,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0052,REPORT.md,20,| 2026-05 | 12.4 | 12.42282 | +0.02282 | Publication rounded to one decimal; same linear band estimate |,one,written number/definition,VERIFIED,1,verification_official_comparison.csv 2026-05 median; live workbook cell DH38,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0053,REPORT.md,22,"The January statistical release supplies the initial comparison. Full-precision official values and cell references for every comparison are in official_comparison.csv. Across the four months' national median and p92 comparisons, the largest absolute difference from the official workbook is below 0.000000000001 weeks; pathway totals also match exactly. Differences from one-decimal values in the table are rounding, not a different method.",four,written number/definition,VERIFIED,4,"verification_official_comparison.csv (8 comparisons,4 months); actual maximum3.5527136788005016e-14",,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0054,REPORT.md,22,"The January statistical release supplies the initial comparison. Full-precision official values and cell references for every comparison are in official_comparison.csv. Across the four months' national median and p92 comparisons, the largest absolute difference from the official workbook is below 0.000000000001 weeks; pathway totals also match exactly. Differences from one-decimal values in the table are rounding, not a different method.",p92,percentile/threshold definition,VERIFIED,92,"verification_official_comparison.csv (8 comparisons,4 months); actual maximum3.5527136788005016e-14",,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0055,REPORT.md,22,"The January statistical release supplies the initial comparison. Full-precision official values and cell references for every comparison are in official_comparison.csv. Across the four months' national median and p92 comparisons, the largest absolute difference from the official workbook is below 0.000000000001 weeks; pathway totals also match exactly. Differences from one-decimal values in the table are rounding, not a different method.",0.000000000001,measured quantity,VERIFIED,1e-12,"verification_official_comparison.csv (8 comparisons,4 months); actual maximum3.5527136788005016e-14",,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0056,REPORT.md,22,"The January statistical release supplies the initial comparison. Full-precision official values and cell references for every comparison are in official_comparison.csv. Across the four months' national median and p92 comparisons, the largest absolute difference from the official workbook is below 0.000000000001 weeks; pathway totals also match exactly. Differences from one-decimal values in the table are rounding, not a different method.",one,written number/definition,VERIFIED,1,"verification_official_comparison.csv (8 comparisons,4 months); actual maximum3.5527136788005016e-14",,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0057,REPORT.md,24,The NHS statistical guidance describes the band definitions and says median and p92 are estimated from grouped data. It does not print the interpolation formula. We identified the current linear convention from the full-precision outputs in NHS commissioner workbooks and checked it against their underlying bands. The source-method note distinguishes this numerical identification from a formula explicitly published in prose.,p92,percentile/threshold definition,VERIFIED,92,NHS RTT guidance; brief definitions; raw file/header inventory,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0058,REPORT.md,28,| Measure | January 2024 | May 2026 |,2024,period or year metadata,VERIFIED,"""2024""",NHS RTT guidance; brief definitions; raw file/header inventory,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0059,REPORT.md,28,| Measure | January 2024 | May 2026 |,2026,period or year metadata,VERIFIED,"""2026""",NHS RTT guidance; brief definitions; raw file/header inventory,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0060,REPORT.md,30,"| Pathways still waiting | 7,575,914 | 7,153,655 |","7,575,914",measured quantity,VERIFIED,7575914.0,verification_independent_measures.csv 2024-01/2026-05 C_999 Part_2 total,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0061,REPORT.md,30,"| Pathways still waiting | 7,575,914 | 7,153,655 |","7,153,655",measured quantity,VERIFIED,7153655.0,verification_independent_measures.csv 2024-01/2026-05 C_999 Part_2 total,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0062,REPORT.md,31,| Median: half of pathways within this wait | 15.0 weeks | 12.4 weeks |,half,percentile/threshold definition,VERIFIED,0.5,verification_independent_measures.csv 2024-01/2026-05 C_999 Part_2 p50,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0063,REPORT.md,31,| Median: half of pathways within this wait | 15.0 weeks | 12.4 weeks |,15.0,measured quantity,VERIFIED,15.039572851097873,verification_independent_measures.csv 2024-01/2026-05 C_999 Part_2 p50,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0064,REPORT.md,31,| Median: half of pathways within this wait | 15.0 weeks | 12.4 weeks |,12.4,measured quantity,VERIFIED,12.42281680139593,verification_independent_measures.csv 2024-01/2026-05 C_999 Part_2 p50,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0065,REPORT.md,32,| p75: three quarters within this wait | 28.5 weeks | 23.9 weeks |,p75,percentile/threshold definition,VERIFIED,75,verification_independent_measures.csv 2024-01/2026-05 C_999 Part_2 p75,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0066,REPORT.md,32,| p75: three quarters within this wait | 28.5 weeks | 23.9 weeks |,three quarters,percentile/threshold definition,VERIFIED,0.75,verification_independent_measures.csv 2024-01/2026-05 C_999 Part_2 p75,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0067,REPORT.md,32,| p75: three quarters within this wait | 28.5 weeks | 23.9 weeks |,28.5,measured quantity,VERIFIED,28.50585185659294,verification_independent_measures.csv 2024-01/2026-05 C_999 Part_2 p75,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0068,REPORT.md,32,| p75: three quarters within this wait | 28.5 weeks | 23.9 weeks |,23.9,measured quantity,VERIFIED,23.901073421514933,verification_independent_measures.csv 2024-01/2026-05 C_999 Part_2 p75,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
